                                                                                                                                                          HISTORY OF SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Customer;;;;;;;;;;;;;Report Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item;;;;;;;;;;;;;User;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salesrep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales Order #;Org Id;Warehouse Id;Year;Month;Invoice Number;Document Number;Invoice GL Date;Invoice Date;Customer Name;Cost Center;Major;Minor;Unique;Item (Product);Quantity Invoiced;U of M;Local Unit Selling Price;Local Sales Amount;Local Unit Cost;Local Fiscal Cost;Local Gross Profit;Gross Profit Margin %;USD Sales Amt;USD Cost of Goods;USD Gross Profit;USD Gross Profit Margin %;VAT;Slsrep Name;Customer #;Tran Type;Sales Order #;IBU;Group IBU;Sub IBU;Pack Code;Purchase Order Info;Item (Product) Code;REFERENCE;Dispatch Date;Dispatch Customer;Dispatch Cust Name;Dispatch Destination;Controlled Product;Currency;Exchange Rate Usd;Incoterm;Line Type;Quantity in KG;UoM Conversion;Transaction Date;Fiscal Number;;;
01-1-85177;623;;2022;9;01-1-85177;;29-sep-22;1-jun-22;NYPRO HEALTHCARE BAJA INC;1220;;;;Data Conversion Opening balance;1;;36,18;14.389,74;0;0;14.389,74;100%;722,5;0;722,5;100%;0%;David Oceguera;1080713;BLA_CONVERSION_INV;01-1-85177;Polymers;Plastics;Compounders;;;;01-1-85177;;;NYPRO HEALTHCARE BAJA INC;AMERICA;;USD;19,9442;;LINE;0;0;;??;;;
01-1-85279;623;;2022;9;01-1-85279;;29-sep-22;7-jun-22;SMITHS MEDICAL ASD, INC;1220;;;;Data Conversion Opening balance;1;;8,58;3.451,61;0;0;3.451,61;100%;172,06;0;172,06;100%;0%;Samantha Acevedo;1080757;BLA_CONVERSION_INV;01-1-85279;Polymers;Plastics;Injection moulding;;;;01-1-85279;;;SMITHS MEDICAL ASD, INC;IRELAND;;USD;20,0605;;LINE;0;0;;??;;;
01-1-85298;623;;2022;9;01-1-85298;;29-sep-22;8-jun-22;NYPRO HEALTHCARE BAJA INC;1220;;;;Data Conversion Opening balance;1;;39,09;15.532,04;0;0;15.532,04;100%;779,22;0;779,22;100%;0%;David Oceguera;1080713;BLA_CONVERSION_INV;01-1-85298;Polymers;Plastics;Compounders;;;;01-1-85298;;;NYPRO HEALTHCARE BAJA INC;AMERICA;;USD;19,9328;;LINE;0;0;;??;;;
01-1-85324;623;;2022;9;01-1-85324;;29-sep-22;10-jun-22;AUTOMOTIVE LIGHTING LLC;1220;;;;Data Conversion Opening balance;1;;323,29;126.392,88;0;0;126.392,88;100%;6.392,26;0;6.392,26;100%;0%;David Oceguera;1080692;BLA_CONVERSION_INV;01-1-85324;Automotive;Automotive Plastics;Compounders & Auto parts;;;;01-1-85324;;;AUTOMOTIVE LIGHTING LLC;AMERICA;;USD;19,7728;;LINE;0;0;;??;;;
01-1-85370;623;;2022;9;01-1-85370;;29-sep-22;11-jun-22;SIGMA INKS CORPORATION;1220;;;;Data Conversion Opening balance;1;;34,75;13.472,68;0;0;13.472,68;100%;684,25;0;684,25;100%;0%;Sofia Cruz;1080714;BLA_CONVERSION_INV;01-1-85370;ACES;Inks;Inks;;;;01-1-85370;;;SIGMA INKS CORPORATION;AMERICA;;USD;19,6897;;LINE;0;0;;??;;;
01-1-85373;623;;2022;9;01-1-85373;;29-sep-22;11-jun-22;DJO, LLC;1220;;;;Data Conversion Opening balance;1;;558,75;226.618,20;0;0;226.618,20;100%;11.001,60;0;11.001,60;100%;0%;David Oceguera;1080736;BLA_CONVERSION_INV;01-1-85373;Polymers;Plastics;Injection moulding;;;;01-1-85373;;;DJO, LLC;AMERICA;;USD;19,6897;;LINE;0;0;;??;;;
01-1-85374;623;;2022;9;01-1-85374;;29-sep-22;11-jun-22;DJO, LLC;1220;;;;Data Conversion Opening balance;1;;558,75;226.618,20;0;0;226.618,20;100%;11.001,60;0;11.001,60;100%;0%;David Oceguera;1080736;BLA_CONVERSION_INV;01-1-85374;Polymers;Plastics;Injection moulding;;;;01-1-85374;;;DJO, LLC;AMERICA;;USD;19,6897;;LINE;0;0;;??;;;
01-1-85404;623;;2022;9;01-1-85404;;29-sep-22;15-jun-22;INDUSTRIAS LA MESA, S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;41.981,33;41.981,33;0;0;41.981,33;100%;2.211,49;0;2.211,49;100%;0%;Christian Valdivia;1080582;BLA_CONVERSION_INV;01-1-85404;Multi-Industry (Others);Other;All Others;;;;01-1-85404;;;INDUSTRIAS LA MESA, S.A. DE C.V.;MEXICO;;MXN;19,8823;;LINE;0;0;;??;;;
01-1-85405;623;;2022;9;01-1-85405;;29-sep-22;15-jun-22;DATAPRODUCTS IMAGING SOLUTIONS, SA DE CV;1220;;;;Data Conversion Opening balance;1;;43,7;17.276,72;0;0;17.276,72;100%;868,95;0;868,95;100%;0%;Samantha Acevedo;1080616;BLA_CONVERSION_INV;01-1-85405;Multi-Industry (Others);Metal Working;Metal Working Others;;;;01-1-85405;;;DATAPRODUCTS IMAGING SOLUTIONS, SA DE CV;MEXICO;;USD;19,8823;;LINE;0;0;;??;;;
01-1-85410;623;;2022;9;01-1-85410;;29-sep-22;15-jun-22;SMITHS MEDICAL ASD, INC;1220;;;;Data Conversion Opening balance;1;;79,17;31.296,73;0;0;31.296,73;100%;1.574,10;0;1.574,10;100%;0%;Samantha Acevedo;1080757;BLA_CONVERSION_INV;01-1-85410;Polymers;Plastics;Injection moulding;;;;01-1-85410;;;SMITHS MEDICAL ASD, INC;IRELAND;;USD;19,8823;;LINE;0;0;;??;;;
01-1-85411;623;;2022;9;01-1-85411;;29-sep-22;15-jun-22;CELESTICA DE MEXICALI, SA DE CV;1220;;;;Data Conversion Opening balance;1;;59,44;23.495,91;0;0;23.495,91;100%;1.181,75;0;1.181,75;100%;0%;Samantha Acevedo;1080641;BLA_CONVERSION_INV;01-1-85411;Multi-Industry (Others);Metal Working;Fabricated metal products;;;;01-1-85411;;;CELESTICA DE MEXICALI, SA DE CV;MEXICO;;USD;19,8823;;LINE;0;0;;??;;;
01-1-85418;623;;2022;9;01-1-85418;;29-sep-22;16-jun-22;DJO, LLC;1220;;;;Data Conversion Opening balance;1;;368,44;146.002,23;0;0;146.002,23;100%;7.334,40;0;7.334,40;100%;0%;David Oceguera;1080736;BLA_CONVERSION_INV;01-1-85418;Polymers;Plastics;Injection moulding;;;;01-1-85418;;;DJO, LLC;AMERICA;;USD;19,9065;;LINE;0;0;;??;;;
01-1-85422;623;;2022;9;01-1-85422;;29-sep-22;16-jun-22;SIGMA INKS CORPORATION;1220;;;;Data Conversion Opening balance;1;;39,79;15.765,95;0;0;15.765,95;100%;792;0;792;100%;0%;Sofia Cruz;1080714;BLA_CONVERSION_INV;01-1-85422;ACES;Inks;Inks;;;;01-1-85422;;;SIGMA INKS CORPORATION;AMERICA;;USD;19,9065;;LINE;0;0;;??;;;
01-1-85426;623;;2022;9;01-1-85426;;29-sep-22;16-jun-22;NYPRO HEALTHCARE BAJA INC;1220;;;;Data Conversion Opening balance;1;;36,24;14.362,54;0;0;14.362,54;100%;722,5;0;722,5;100%;0%;David Oceguera;1080713;BLA_CONVERSION_INV;01-1-85426;Polymers;Plastics;Compounders;;;;01-1-85426;;;NYPRO HEALTHCARE BAJA INC;AMERICA;;USD;19,9065;;LINE;0;0;;??;;;
01-1-85463;623;;2022;9;01-1-85463;;29-sep-22;18-jun-22;SUNPOWER CORPORATION MEXICO, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;9,84;3.960,81;0;0;3.960,81;100%;197,46;0;197,46;100%;0%;Samantha Acevedo;1080569;BLA_CONVERSION_INV;01-1-85463;ACES;Adhesives/Sealants;Sealants;;;;01-1-85463;;;SUNPOWER CORPORATION MEXICO, S DE RL DE CV;MEXICO;;USD;20,0588;;LINE;0;0;;??;;;
01-1-85467;623;;2022;9;01-1-85467;;29-sep-22;18-jun-22;AUTOMOTIVE LIGHTING LLC;1220;;;;Data Conversion Opening balance;1;;159,73;64.269,00;0;0;64.269,00;100%;3.204,03;0;3.204,03;100%;0%;David Oceguera;1080692;BLA_CONVERSION_INV;01-1-85467;Automotive;Automotive Plastics;Compounders & Auto parts;;;;01-1-85467;;;AUTOMOTIVE LIGHTING LLC;AMERICA;;USD;20,0588;;LINE;0;0;;??;;;
01-1-85468;623;;2022;9;01-1-85468;;29-sep-22;18-jun-22;AUTOMOTIVE LIGHTING LLC;1220;;;;Data Conversion Opening balance;1;;318,68;128.222,06;0;0;128.222,06;100%;6.392,26;0;6.392,26;100%;0%;David Oceguera;1080692;BLA_CONVERSION_INV;01-1-85468;Automotive;Automotive Plastics;Compounders & Auto parts;;;;01-1-85468;;;AUTOMOTIVE LIGHTING LLC;AMERICA;;USD;20,0588;;LINE;0;0;;??;;;
01-1-85471;623;;2022;9;01-1-85471;;29-sep-22;18-jun-22;INDUSTRIAS LA MESA, S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;16.792,53;16.792,53;0;0;16.792,53;100%;837,17;0;837,17;100%;0%;Christian Valdivia;1080582;BLA_CONVERSION_INV;01-1-85471;Multi-Industry (Others);Other;All Others;;;;01-1-85471;;;INDUSTRIAS LA MESA, S.A. DE C.V.;MEXICO;;MXN;20,0588;;LINE;0;0;;??;;;
01-1-85472;623;;2022;9;01-1-85472;;29-sep-22;18-jun-22;INDUSTRIAS LA MESA, S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;8.396,27;8.396,27;0;0;8.396,27;100%;418,58;0;418,58;100%;0%;Christian Valdivia;1080582;BLA_CONVERSION_INV;01-1-85472;Multi-Industry (Others);Other;All Others;;;;01-1-85472;;;INDUSTRIAS LA MESA, S.A. DE C.V.;MEXICO;;MXN;20,0588;;LINE;0;0;;??;;;
01-1-85481;623;;2022;9;01-1-85481;;29-sep-22;22-jun-22;Brenntag Mexico, S.A de C.V;1220;;;;Data Conversion Opening balance;1;;1.188,15;495.877,97;0;0;495.877,97;100%;24.273,00;0;24.273,00;100%;0%;OFICINA;1080495;BLA_CONVERSION_INV;01-1-85481;Intercompany;BLA;BLA Companies;;;;01-1-85481;;USAA8636;Brenntag Mexico, S.A de C.V;MEXICO;;USD;20,4292;;LINE;0;0;;??;;;
