                                                                                                                                                          HISTORY OF SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Customer;;;;;;;;;;;;;Report Date;10/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item;;;;;;;;;;;;;User;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salesrep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;10/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales Order #;Org Id;Warehouse Id;Year;Month;Invoice Number;Document Number;Invoice GL Date;Invoice Date;Customer Name;Cost Center;Major;Minor;Unique;Item (Product);Quantity Invoiced;U of M;Local Unit Selling Price;Local Sales Amount;Local Unit Cost;Local Fiscal Cost;Local Gross Profit;Gross Profit Margin %;USD Sales Amt;USD Cost of Goods;USD Gross Profit;USD Gross Profit Margin %;VAT;Slsrep Name;Customer #;Tran Type;Sales Order #;IBU;Group IBU;Sub IBU;Pack Code;Purchase Order Info;Item (Product) Code;REFERENCE;Dispatch Date;Dispatch Customer;Dispatch Cust Name;Dispatch Destination;Controlled Product;Currency;Exchange Rate Usd;Incoterm;Line Type;Quantity in KG;UoM Conversion;Transaction Date;Fiscal Number;;;
10-1-23911;604;;2022;9;10-1-23911;;29-sep-22;1-jun-22;LACTEO MENONITA DE CHIHUAHUA SA DE CV;1220;;;;Data Conversion Opening balance;1;;58,85;23.407,11;0;0;23.407,11;100%;1.173,63;0;1.173,63;100%;0%;César Martínez;1084710;BLA_CONVERSION_INV;10-1-23911;Food & Nutrition;DAIRY & ICE CREAM;DAIRY INGREDIENTS;;;;10-1-23911;;;LACTEO MENONITA DE CHIHUAHUA SA DE CV;MEXICO;;USD;19,9442;;LINE;0;0;;??;;;
10-1-23916;604;;2022;9;10-1-23916;;29-sep-22;1-jun-22;HENKEL CAPITAL SA DE CV;1220;;;;Data Conversion Opening balance;1;;189,84;75.513,53;0;0;75.513,53;100%;3.786,24;0;3.786,24;100%;0%;Diana Cruz;1083818;BLA_CONVERSION_INV;10-1-23916;ACES;Adhesives/Sealants;Adhesives;;;;10-1-23916;;;HENKEL CAPITAL SA DE CV;MEXICO;;USD;19,9442;;LINE;0;0;;??;;;
10-1-23974;604;;2022;9;10-1-23974;;29-sep-22;4-jun-22;MCCORMICK PESA SA DE CV;1220;;;;Data Conversion Opening balance;1;;227,02;90.152,91;0;0;90.152,91;100%;4.524,00;0;4.524,00;100%;0%;Hector Avila;1083318;BLA_CONVERSION_INV;10-1-23974;Food & Nutrition;INGREDIENT PRODUCER;OTHER INGREDIENT PRODUCERS;;;;10-1-23974;;;MCCORMICK PESA SA DE CV;MEXICO;;USD;19,9277;;LINE;0;0;;??;;;
10-1-23983;604;;2022;9;10-1-23983;;29-sep-22;7-jun-22;HENKEL CAPITAL SA DE CV;1220;;;;Data Conversion Opening balance;1;;127,77;51.417,87;0;0;51.417,87;100%;2.563,14;0;2.563,14;100%;0%;Diana Cruz;1083818;BLA_CONVERSION_INV;10-1-23983;ACES;Adhesives/Sealants;Adhesives;;;;10-1-23983;;;HENKEL CAPITAL SA DE CV;MEXICO;;USD;20,0605;;LINE;0;0;;??;;;
10-1-23990;604;;2022;9;10-1-23990;;29-sep-22;9-jun-22;HENKEL CAPITAL SA DE CV;1220;;;;Data Conversion Opening balance;1;;946,06;370.782,57;0;0;370.782,57;100%;18.729,23;0;18.729,23;100%;0%;Diana Cruz;1083818;BLA_CONVERSION_INV;10-1-23990;ACES;Adhesives/Sealants;Adhesives;;;;10-1-23990;;;HENKEL CAPITAL SA DE CV;MEXICO;;USD;19,797;;LINE;0;0;;??;;;
10-1-24032;604;;2022;9;10-1-24032;;29-sep-22;14-jun-22;GARCOMEX SA DE CV;1220;;;;Data Conversion Opening balance;1;;92,38;35.854,36;0;0;35.854,36;100%;1.820,00;0;1.820,00;100%;0%;Erika Garcia;1083897;BLA_CONVERSION_INV;10-1-24032;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-24032;;;GARCOMEX SA DE CV;MEXICO;;USD;19,7002;;LINE;0;0;;??;;;
10-1-24033;604;;2022;9;10-1-24033;;29-sep-22;14-jun-22;GARCOMEX SA DE CV;1220;;;;Data Conversion Opening balance;1;;138,58;53.781,55;0;0;53.781,55;100%;2.730,00;0;2.730,00;100%;0%;Erika Garcia;1083897;BLA_CONVERSION_INV;10-1-24033;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-24033;;;GARCOMEX SA DE CV;MEXICO;;USD;19,7002;;LINE;0;0;;??;;;
10-1-24050;604;;2022;9;10-1-24050;;29-sep-22;15-jun-22;INNOVADORA DE ALIMENTOS Y QUIMICOS S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;50,3;19.882,30;0;0;19.882,30;100%;1.000,00;0;1.000,00;100%;0%;César Martínez;1083779;BLA_CONVERSION_INV;10-1-24050;Food & Nutrition;INGREDIENT PRODUCER;BLENDERS OTHERS;;;;10-1-24050;;;INNOVADORA DE ALIMENTOS Y QUIMICOS S DE RL DE CV;MEXICO;;USD;19,8823;;LINE;0;0;;??;;;
10-1-24060;604;;2022;9;10-1-24060;;29-sep-22;16-jun-22;AJEMEX, S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;285,53;113.148,55;0;0;113.148,55;100%;5.684,00;0;5.684,00;100%;0%;Hector Avila;1083970;BLA_CONVERSION_INV;10-1-24060;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-24060;;;AJEMEX, S.A. DE C.V.;MEXICO;;USD;19,9065;;LINE;0;0;;??;;;
10-1-24081;604;;2022;9;10-1-24081;;29-sep-22;18-jun-22;HENKEL CAPITAL SA DE CV;1220;;;;Data Conversion Opening balance;1;;396,92;159.701,35;0;0;159.701,35;100%;7.961,66;0;7.961,66;100%;0%;Diana Cruz;1083818;BLA_CONVERSION_INV;10-1-24081;ACES;Adhesives/Sealants;Adhesives;;;;10-1-24081;;;HENKEL CAPITAL SA DE CV;MEXICO;;USD;20,0588;;LINE;0;0;;??;;;
